    date	time	kind	url
2022-03-31	00:00:00	Revisit	http://thenewcode.com/438/CSS-Border-Image-Explained 
2022-03-31	00:00:00	Revisit	https://anvil.works/blog/xkcd-style-apps 
2022-03-31	00:00:00	Revisit	https://blog.heroku.com/tidying-ruby-object-allocations 
2022-03-31	00:00:00	Revisit	https://golem.ph.utexas.edu/category/2020/04/ultracategories_and_2monads.html 
2022-03-31	00:00:00	Revisit	https://towardsdatascience.com/drf-a-random-forest-for-almost-everything-625fa5c3bcb8 
2022-03-31	00:00:00	Revisit	https://www.depesz.com/2012/06/08/123"-vs-depesz-followup/ 
2022-03-31	00:00:00	Revisit	https://www.foonathan.net/2016/05/issue-driven-development/#content 
2022-03-31	00:00:00	Revisit	https://www.foonathan.net/2022/03/behavior-function-type/ 
2022-03-31	00:00:00	Revisit	https://www.schneems.com/2019/11/07/why-does-my-apps-memory-usage-grow-asymptotically-over-time/ 
2022-03-31	00:00:00	Revisit	https://www.sitepoint.com/ruby-uses-memory/ 
2022-03-31	00:00:00	Revisit	https://www.youtube.com/watch?v=CRvVDoQJjYI 
2022-03-31	00:00:00	Revisit	https://www.youtube.com/watch?v=edB-_JnhoRY 
2022-03-31	00:00:00	Revisit	https://www.youtube.com/watch?v=eTVddYCeiKI 
2022-03-31	00:00:00	Revisit	https://www.youtube.com/watch?v=kVYgN1D2FlA 
2022-03-31	00:00:00	Revisit	https://www.youtube.com/watch?v=rKVCTVAHK7k 
2022-03-31	00:00:00	Revisit	https://www.youtube.com/watch?v=UroWECETMEw 
2022-03-31	00:00:00	Revisit	https://www.youtube.com/watch?v=W9F4pn9Lngc 
2022-03-31	00:00:00	Revisit	https://www.youtube.com/watch?v=W9F4pn9Lngc 
2022-03-31	00:00:00	Revisit	https://www.youtube.com/watch?v=XrlfX0duLKQ 
2022-04-01	00:00:00	bad	https://blog.heroku.com/learn_from_your_data_with_dataclips_20 
2022-04-01	00:00:00	bad	https://eng.uber.com/developer-dashboard-part-1/ 
2022-04-01	00:00:00	bad	https://stackoverflow.blog/2022/03/08/the-new-stack-overflow-podcast-ep-421/ 
2022-04-01	00:00:00	Bookmark	http://artfulsoftware.com 
2022-04-01	00:00:00	Bookmark	https://bartoszmilewski.com 
2022-04-01	00:00:00	Good	https://adit.io/posts/2013-04-17-functors,_applicatives,_and_monads_in_pictures.html 
2022-04-01	00:00:00	Good	https://adit.io/posts/2013-06-10-three-useful-monads.html 
2022-04-01	00:00:00	Good	https://blog.acolyer.org/2015/03/20/out-of-the-tar-pit/ 
2022-04-01	00:00:00	Good	https://blog.acolyer.org/2016/09/12/on-designing-and-deploying-internet-scale-services/ 
2022-04-01	00:00:00	Good	https://docs.google.com/spreadsheets/d/1sWS_aX4vcBNdHi5hCeBLy7C4sOBwXHzegaXXMM-t84I/edit#gid=143352549 
2022-04-01	00:00:00	Good	https://queue.acm.org/detail.cfm?id=3068754 
2022-04-01	00:00:00	Good	https://www.youtube.com/watch?v=Ekcseve-mOg 
2022-04-01	00:00:00	Premium	https://adit.io/posts/2013-04-17-functors,_applicatives,_and_monads_in_pictures.html 
2022-04-01	00:00:00	Tool	http://alloytools.org 
2022-04-01	00:00:00	Tool	http://bokeh.org 
2022-04-01	00:00:00	Tool	http://cosette.cs.washington.edu 
2022-04-01	00:00:00	Tool	http://crcns.org 
2022-04-01	00:00:00	Tool	https://alpaca.markets 
2022-04-01	00:00:00	Tool	https://ankiweb.net/about 
2022-04-01	00:00:00	Tool	https://antv.vision/en 
2022-04-01	00:00:00	Tool	https://automerge.org 
2022-04-01	00:00:00	Tool	https://ax.dev 
2022-04-01	00:00:00	Tool	https://backtrader.com 
2022-04-01	00:00:00	Tool	https://bandit.readthedocs.io/en/latest/ 
2022-04-01	00:00:00	Tool	https://botorch.org 
2022-04-01	00:00:00	Tool	https://bytebuddy.net/#/ 
2022-04-01	00:00:00	Tool	https://calcite.apache.org 
2022-04-01	00:00:00	Tool	https://chartio.com 
2022-04-01	00:00:00	Tool	https://checkerframework.org 
2022-04-01	00:00:00	Tool	https://clear.ml 
2022-04-01	00:00:00	Tool	https://cobbl.io 
